*18-dwo	0	[(1633, -10.414246559143066)]
*18-ja	0	[(1633, -11.122854232788086)]
*18-jo	0	[(1633, -0.000176652567461133), (1633, 1)]
*18-to-no	0	[(916, 1)]
*22-ja	0	[(1652, -1.3541007041931152)]
*22-ja-me-na	0	[(148, -10.44271469116211)]
*22-ja-mo	0	[(3628, -9.842357635498047)]
*22-ja-re-pe	0	[(3086, -5.790829181671143), (3093, -11.822664260864258)]
*22-ja-ro	0	[(461, -0.0005871717585250735), (461, 1), (584, -0.0005441615357995033)]
*22-ki-ri-to	0	[(977, -10.6670560836792)]
*22-me-ta-ro	0	[(1752, -12.999702453613281)]
*22-ri-ta-ro	0	[(1752, -3.2782016205601394e-05), (1752, 1)]
*22-ru-ta-ro	0	[(1752, -11.592719078063965)]
*22-si-ta-ro	0	[(1752, -11.80833625793457)]
*22-so	0	[(552, -2.6254994869232178)]
*22-so-de	0	[(1933, -8.249290466308594)]
*22-to	0	[(1383, -9.403833389282227), (1446, -10.897226333618164)]
*22-to-ta-ro	0	[(1752, -12.693056106567383)]
*34-ka-na	0	[(86, -12.920462608337402)]
*34-ka-te-jo	0	[(518, -4.42943811416626)]
*34-ka-te-re	0	[(3549, 1), (3552, -0.001328777172602713), (3552, 1)]
*34-ke	0	[(643, -9.104053497314453), (2704, -1.6827318668365479), (2706, -8.428511619567871)]
*34-ke-ja	0	[(2829, 1), (3053, 1)]
*34-ke-ka-te-ra	0	[(3550, -9.310245513916016)]
*34-ke-mo-si	0	[(3013, -0.8597128391265869)]
*34-ke-po-si	0	[(3013, -5.2396697998046875)]
*34-ke-pu-te-ri-ja	0	[(262, -13.462563514709473)]
*34-ke-re-si	0	[(3013, -3.497551202774048)]
*34-ke-ro-si	0	[(3013, -3.331972360610962)]
*34-ke-te-si	0	[(3010, 1), (3011, 1), (3012, 1), (3013, 1), (3014, 1), (3017, 1), (3019, 1), (3022, 1), (3023, 1), (3025, -2.7418097943154862e-06), (3025, 1), (3026, 1), (3027, 1), (3028, 1)]
*34-ke-u	0	[(3470, 1)]
*34-ke-u-si	0	[(3013, -0.7001097202301025)]
*34-ki	0	[(1920, -11.99866771697998)]
*34-ki-ja-na	0	[(3347, -6.974930763244629)]
*34-ki-jo	0	[(3143, -8.647838592529297)]
*34-ki-ka-te-ra	0	[(3550, -10.923317909240723)]
*34-ki-no-o	0	[(3570, -0.003560158656910062), (3570, 1), (3571, 1)]
*34-ki-te-si	0	[(3025, -13.908187866210938)]
*34-ko-te	0	[(3126, -13.384156227111816)]
*34-qa-te-si	0	[(3025, -15.247055053710938)]
*34-qo-te-si	0	[(3025, -14.83383846282959)]
*34-ra-ka-te-ra	0	[(3550, -0.0005113962688483298), (3550, 1)]
*34-ta-ka-te-ra	0	[(3550, -8.145952224731445)]
*34-ta-no	0	[(546, -10.506308555603027)]
*34-ta-no-re	0	[(272, -9.476144790649414)]
*34-te	0	[(2610, -4.887569048150908e-06), (2610, 1)]
*34-te-po	0	[(2552, -2.2327399253845215)]
*34-to	0	[(1167, -10.750711441040039), (1530, -3.147531032562256), (2803, 1), (3649, -7.991047382354736)]
*34-to-pi	0	[(3577, 1)]
*34-tu	0	[(1075, -8.833290100097656)]
*34-wo-ka-te-ra	0	[(3550, -10.790557861328125)]
*34-za-ne	0	[(3043, -8.436079025268555)]
*34-za-te-si	0	[(3025, -15.73808765411377)]
*34-zo	0	[(1225, 1)]
*34-zo-e	0	[(804, -11.205330848693848)]
*47-da-de	0	[(1989, 1)]
*47-da-so	0	[(1427, -6.438115119934082)]
*47-jo-de	0	[(1938, -9.862592697143555)]
*47-ko-we	0	[(3104, -8.630635261535645)]
*47-ku-si-jo	0	[(695, -11.211827278137207)]
*47-ku-to-de	0	[(1993, 1)]
*47-qa-de	0	[(1938, -10.385493278503418)]
*47-re-wa	0	[(224, -10.055148124694824)]
*47-ri-da-ke	0	[(701, -12.111013412475586)]
*47-ri-te	0	[(77, -12.898706436157227)]
*47-ro	0	[(2625, -12.898334503173828)]
