*18-dwo	0	[(1633, -12.952431678771973)]
*18-ja	0	[(1633, -12.594123840332031)]
*18-jo	0	[(578, -13.445516586303711), (1633, -3.58813522325363e-05), (1633, 1)]
*18-ki	0	[(1633, -13.405557632446289)]
*18-o	0	[(1633, -12.89450454711914)]
*18-qa	0	[(1633, -14.086078643798828)]
*18-so	0	[(1633, -12.184329986572266)]
*18-to-no	0	[(916, 1)]
*22-*56-ta-ro	0	[(1752, -14.306241035461426)]
*22-ai-ta-ro	0	[(1752, -15.257994651794434)]
*22-ja	0	[(467, -1.842738151550293), (1652, -1.8529499769210815), (1852, -12.296102523803711)]
*22-ja-me-na	0	[(148, -12.469801902770996), (182, -11.633984565734863)]
*22-ja-mo	0	[(3628, -9.388611793518066)]
*22-ja-re-pe	0	[(3086, -3.254456043243408)]
*22-ja-ro	0	[(461, -0.00014506718434859067), (461, 1), (584, -0.00014506718434859067)]
*22-ki-ta-ro	0	[(1752, -15.437466621398926)]
*22-me-ta-ro	0	[(1752, -15.228372573852539)]
*22-ri-ta-ro	0	[(1752, -9.059865078597795e-06), (1752, 1)]
*22-ru-ta-ro	0	[(1752, -12.745171546936035)]
*22-si-ta-ro	0	[(1752, -13.341950416564941)]
*22-so	0	[(552, -8.706731796264648)]
*22-so-de	0	[(1933, -11.039286613464355), (1981, -11.333165168762207)]
*22-ta-ta-ro	0	[(1752, -14.227090835571289)]
*22-ti	0	[(1608, -14.625991821289062)]
*22-to	0	[(1446, -12.845314979553223), (1547, -14.257246017456055), (1785, -14.734132766723633)]
*22-to-ta-ro	0	[(1752, -15.326899528503418)]
*34-di-*22-sa	0	[(1907, -14.276714324951172)]
*34-du-na	0	[(315, -12.11270809173584)]
*34-ja-ro	0	[(461, -12.352384567260742), (584, -12.355840682983398)]
*34-ka	0	[(1184, -14.818020820617676), (1275, -11.76398754119873)]
*34-ka-i-jo	0	[(449, -15.28305721282959)]
*34-ka-ra	0	[(69, -13.561004638671875)]
*34-ka-ra-e-we	0	[(1668, -12.529590606689453)]
*34-ka-ta-jo	0	[(1727, -7.042352199554443), (2916, -5.779308319091797)]
*34-ka-te-jo	0	[(518, -5.438979148864746)]
*34-ka-te-re	0	[(3549, 1), (3552, -0.00012838016846217215), (3552, 1)]
*34-ke	0	[(643, -11.159838676452637), (2704, -4.133788585662842), (2706, -10.975476264953613)]
*34-ke-*82-si	0	[(3013, -6.438155651092529)]
*34-ke-do-si	0	[(3013, -6.507483005523682)]
*34-ke-ja	0	[(2829, 1), (3053, 1)]
*34-ke-ka-te-ra	0	[(3550, -12.591032028198242)]
*34-ke-mo-si	0	[(3013, -0.4404345154762268)]
*34-ke-no-si	0	[(3013, -6.985415458679199)]
*34-ke-o-si	0	[(3013, -4.17051887512207)]
*34-ke-po-si	0	[(3013, -6.71265983581543)]
*34-ke-qe-si	0	[(3013, -5.050544738769531)]
*34-ke-re-si	0	[(3013, -3.942986488342285)]
*34-ke-ro-si	0	[(3013, -2.0703744888305664)]
*34-ke-te-si	0	[(3010, 1), (3011, 1), (3012, 1), (3013, 1), (3014, 1), (3017, 1), (3019, 1), (3022, 1), (3023, 1), (3025, -3.6954811548639555e-06), (3025, 1), (3026, 1), (3027, 1), (3028, 1)]
*34-ke-u	0	[(3470, 1)]
*34-ke-u-si	0	[(3013, -1.7119779586791992)]
*34-ke-wa	0	[(2494, -6.003692626953125)]
*34-ki-ja-na	0	[(3347, -11.147303581237793)]
*34-ki-jo	0	[(3143, -10.756514549255371)]
*34-ki-ka-te-ra	0	[(3550, -13.63990592956543)]
*34-ki-no-o	0	[(3570, -0.0001565095444675535), (3570, 1), (3571, 1)]
*34-ki-te-si	0	[(3025, -13.111273765563965)]
*34-ma-no	0	[(1569, -11.959793090820312)]
*34-mo-te-si	0	[(3025, -15.693168640136719)]
*34-po	0	[(1966, -12.942545890808105)]
*34-qa-te-si	0	[(3025, -15.360158920288086)]
*34-qo-te-si	0	[(3025, -15.609331130981445)]
*34-ra-ka-te-ra	0	[(3550, -4.8040190449682996e-05), (3550, 1)]
*34-ra-te-si	0	[(3025, -16.23725700378418)]
*34-ri-ka-te-ra	0	[(3550, -13.241972923278809)]
*34-ro-ka-te-ra	0	[(3550, -13.35216236114502)]
*34-ro-te-si	0	[(3025, -16.23622703552246)]
*34-ru-ka-te-ra	0	[(3550, -14.400931358337402)]
